Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1747092,HEART,0.29,SI1,F,GD,VG,VG,F,3.96-4.62×2.81,829.54
1800754,HEART,0.3,VS1,J,EX,EX,EX,F,3.94-4.67×2.72,830.33
1786572,HEART,0.32,VS1,I,EX,VG,GD,N,4.07-4.80×2.83,831.26
1785300,HEART,0.3,SI2,F,VG,EX,VG,N,4.16-4.46×2.67,832.33
1771394,HEART,0.29,SI1,E,VG,VG,GD,N,4.22-4.59×2.59,837.87
1683265,HEART,0.29,SI1,E,VG,EX,GD,N,4.23-4.62×2.58,837.87
1800797,HEART,0.29,SI1,E,VG,VG,GD,N,3.97-4.66×2.72,838.36
1771313,HEART,0.3,VVS1,I,VG,EX,GD,N,4.07-4.67×2.70,838.41
1775298,HEART,0.37,VS1,K,EX,EX,EX,N,4.47-5.00×2.97,840.78
1783865,HEART,0.3,VS2,I,EX,EX,VG,F,4.04-4.75×2.82,840.96
1793204,HEART,0.3,VS2,I,VG,EX,VG,N,4.26-4.50×2.48,840.96
1778563,HEART,0.3,VS1,I,EX,VG,GD,N,3.99-4.67×2.76,841.48
1791134,HEART,0.3,SI1,H,GD,VG,GD,N,4.09-4.58×2.70,845.05
1800051,HEART,0.3,SI2,E,GD,EX,VG,N,4.12-4.53×2.52,846.08
1800753,HEART,0.31,VS1,J,EX,VG,VG,N,3.95-4.66×2.71,846.74
1793202,HEART,0.32,VS2,H,EX,EX,VG,N,4.13-4.81×2.75,"1,094.04"
1765644,HEART,0.32,VS1,G,EX,EX,GD,N,4.15-4.83×2.74,"1,095.73"
1775292,HEART,0.3,VS1,F,EX,EX,GD,N,4.30-4.58×2.71,"1,096.00"
1775278,HEART,0.4,SI1,H,VG,EX,VG,F,4.73-5.10×2.95,"1,096.52"
1771347,HEART,0.31,VS2,F,EX,EX,VG,N,4.16-4.67×2.68,"1,096.64"
1774273,HEART,0.32,VVS2,F,EX,EX,GD,N,4.25-4.67×2.72,"1,096.83"
1789112,HEART,0.3,VS1,E,EX,VG,GD,N,3.93-4.65×2.73,"1,096.98"
1787940,HEART,0.3,VS2,D,VG,EX,GD,N,4.04-4.57×2.70,"1,096.98"
1789101,HEART,0.3,VVS2,E,VG,VG,GD,N,4.05-4.74×2.83,"1,097.99"
1771342,HEART,0.3,VS2,D,EX,VG,GD,N,3.95-4.69×2.76,"1,098.53"
1761688,HEART,0.32,VVS2,E,EX,EX,GD,N,4.24-4.68×2.68,"1,098.91"
1771291,HEART,0.4,VS1,I,GD,EX,VG,F,4.73-4.99×2.70,"1,099.23"
1787951,HEART,0.31,VS2,F,EX,VG,EX,F,4.08-4.79×2.68,"1,099.75"
1793179,HEART,0.31,VVS2,H,EX,EX,VG,N,4.03-4.79×2.84,"1,099.75"
1757237,HEART,0.31,VS1,F,EX,EX,VG,N,4.29-4.78×2.66,"1,099.77"
1789097,HEART,0.3,VVS1,I,EX,VG,VG,N,4.24-4.71×2.67,923.13
1779846,HEART,0.3,SI1,G,EX,EX,GD,N,4.07-4.65×2.76,923.59
1800788,HEART,0.32,SI2,F,EX,EX,EX,N,4.22-4.68×2.71,924.26
1789942,HEART,0.3,SI1,G,EX,EX,GD,N,4.13-4.68×2.63,924.65
1789926,HEART,0.3,VS2,E,VG,GD,GD,M,4.07-4.73×2.73,925.63
1791804,HEART,0.31,SI1,F,EX,EX,VG,F,3.92-4.53×2.74,926.91
1789118,HEART,0.31,VS1,I,VG,EX,VG,F,4.39-4.69×2.59,926.91
1750304,HEART,0.32,SI1,E,EX,VG,VG,N,4.38-4.79×2.81,927
1767978,HEART,0.3,SI1,F,EX,VG,VG,N,4.03-4.69×2.75,927.17
1750303,HEART,0.33,SI1,E,EX,EX,VG,N,4.19-4.89×2.79,928.62
1717448,HEART,0.29,VS1,F,VG,VG,VG,N,3.95-4.68×2.78,929.06
1793208,HEART,0.3,SI1,E,VG,EX,GD,N,3.98-4.84×2.71,930.75
1789940,HEART,0.3,SI1,E,GD,VG,GD,N,4.30-4.64×2.65,930.75
